port,voltage
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,3.687
8,3.684
9,3.693
10,3.166
11,3.373
12,3.333
13,3.05
14,5.113
15,4.044
16,3.832
17,3.779
18,3.21
19,4.134
20,3.863
21,3.641
22,5.086
23,3.536
24,3.202
25,4.903
26,4.582
27,3.617
28,5.306
29,5.033
30,4.693
31,0.0
32,0.0
33,3.66
34,3.979
35,3.596
36,3.68
37,3.24
38,3.833
39,2.905
40,4.938
41,4.164
42,3.995
43,4.318
44,3.977
45,4.261
46,4.329
47,0.0
48,4.23
49,3.062
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,4.694
66,4.294
67,4.427
68,4.309
69,3.91
70,4.048
71,4.144
72,1.453
73,3.84
74,4.081
75,4.311
76,3.782
77,3.463
78,3.591
79,3.666
80,0.854
81,3.347
82,3.301
83,3.538
84,3.848
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,3.786
98,4.138
99,4.208
100,4.062
101,4.003
102,3.779
103,4.168
104,0.0
105,4.628
106,4.235
107,4.604
108,4.535
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
